#,Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
1,Dar Al Iman InterContinental,فندق دار الايمان انتركونتنتال,Madina,1988,2-Star,Active,219338
2,SHAKIR AL GHAZA HOTEL,فندق شاكر الغزة الفندقية,Makkah,10009449,1-Star,Active,221575
3,Dar Al Wafedeen Hotel,فندق دار الوافدين الفندقية,Makkah,10009484,1-Star,Active,239458
4,nuzul rawabi alwahaj,نزل روابي الوهج للنزل السياحيه,Makkah,10009499,Unclassified/Other,Active,243035
5,LULAH AJYAD HOTEL,فندق لؤلؤة اجياد للايواء السياحي,Makkah,10009498,1-Star,Active,221005
6,ethar alwahaj hotel,فندق إيثار الوهج الفندقية,Makkah,10009500,1-Star,Active,241174
7,Park Royal Hotel Company,شركة بارك رويال الفندقية,Makkah,10009547,3-Star,Active,209536
8,Asrar Al-Ti Service Company for Hotel Services,شركة اسرار التيسير للخدمات الفندقيه,Makkah,10009556,1-Star,Active,230579
9,Kanf Hotel,شركة كنف الفندقية,Makkah,10009553,1-Star,Active,259375
10,Company EJIAD ALBAET Hotel,شركة اجياد البيت الفندقية,Makkah,10002275,3-Star,Active,210077
11,DIAFAT ALRAJAA HOTEL,فندق ضيافة الرجاء,Makkah,10001158,3-Star,Active,45518
12,BORJ AL DEAFAH HOTEL,فندق برج الضيافة الفندقية,Makkah,10001435,1-Star,Active,224579
13,Novotel Thakher Hotel,فندق نوفوتيل ذاخر الفندقية,Makkah,10002107,4-Star,Active,220403
14,Makarem Umm Al Qura Hotel,فندق مكارم أم القرى,Makkah,10002241,Unclassified/Other,Active,220998
15,MASARAT AL KHALIL HOTEL,شركة مسارات الخليل,Makkah,10002446,Unclassified/Other,Active,221978
16,MASARAT SILVER HOTEL,فندق مسارات الفضي الفندقية,Makkah,10002441,Unclassified/Other,Active,221856
17,Snood Al Rayyan Hotel,فندق سنود الريان للخدمات الفندقيه,Makkah,10001983,2-Star,Active,254520
18,al ahbab al kobra hotel,فندق الاحباب الكبرى الفندقية,Makkah,10002233,1-Star,Active,246588
19,Mysk Albalad Rawafed,شركة البلد روافد الفندقية,Madina,10002215,3-Star,Active,230278
20,Mira Mar Hotel,فندق ميرا مار الفندقية,Madina,10002161,1-Star,Active,269340
21,Makkah Hotel & Towers,شركة فندق ابراج شركة مكه الفندقية شركة شخص واحد,Makkah,10000983,1-Star,Active,219628
22,alekhwa tabarak hotel,فندق الاخوة تبارك الفندقية,Makkah,10002062,1-Star,Active,290679
23,Hajar Tower Real Estate Company Limited Movenpick,شركة برج هاجر العقارية المحدودة,Makkah,10001330,4-Star,Active,33661
24,Ajwad Ajyad Hotel,فندق أجواد أجياد,Makkah,10001556,1-Star,Active,218429
25,funduq jawharat alshariea,فندق جوهرة الشريعة الفندقية,Makkah,10002483,1-Star,Active,219117
26,Hasanah suites,شقق أجنحة حسنة للشقق المخدومة,Madina,10002000,2-Star,Active,254995
27,Odest Hotel,فندق اوديست المدينة,Madina,10001866,Unclassified/Other,Active,235749
28,ABEER AL DEAFAH HOTEL,فندق عبير الضيافة الفندقية,Makkah,10001875,1-Star,Active,228120
29,nusl hotel company,شركة فندق نسك المدينة المحدودة,Madina,10000988,1-Star,Active,239197
30,Nour Al Raqia for Serviced Apartments,شقق نور الراقية للوحدات السكنية,Madina,10001835,2-Star,Active,259361
31,Jawad Al Taj Hotel,فندق جواد التاج الفندقية,Makkah,10001850,Unclassified/Other,Active,221395
32,Nada Alsalam Hotel,فندق ندى السلام الفندقية,Madina,10002329,1-Star,Active,274138
33,Company Pradais Ness Hotel,شركة برادايس نيس الفندقية,Makkah,10001130,1-Star,Active,241441
34,alZhil alAjnihah Hotel Hotel Establishment,مؤسسة فندق الظل الأجنحة الفندقية,Makkah,10001692,Unclassified/Other,Active,302756
35,Violet Three Hotel,فندق فيوليت ثلاثة الفندقية,Makkah,10000966,2-Star,Active,211570
36,Tharawat Al-Khalil Hotel,فندق ثروات الخليل,Makkah,10002200,1-Star,Active,244436
37,Suleiman Musa Al-Olayan Diamond Hotel,فندق سليمان موسى العليان الفندقية,Makkah,10002506,1-Star,Active,253964
38,Nuzhat Al Naseem Hotel,فندق نزهة النسيم الفندقية,Makkah,10001665,1-Star,Active,282793
39,TAIF ALNEBRAS HOTEL,فندق طيف النبراس الفندقية,Madina,10002279,Unclassified/Other,Active,287499
40,DIARY HOTEL COMPANY,شركة دياري الفندقية شركة شخص واحد,Makkah,10002093,1-Star,Active,107094
41,wahat al deafah hotel,فندق واحة الضيافة الفندقية,Makkah,10002047,2-Star,Active,95495
42,Ajyad Aljiwar Hotel,فندق أجياد الجوار الفندقية,Makkah,10002267,1-Star,Active,220571
43,SEDAIR KARAH HOTEL,فندق سدير كرم الفندقية,Makkah,10001652,1-Star,Active,211733
44,SYOOF ALSHUHADAA HOTEL,فندق سيوف الشهداء الفندقية,Makkah,10000538,1-Star,Active,221024
45,MAATHER ALDIYAFA,شركة مأثر الضيافة لخدمات المعتمرين  ,Makkah,10001669,4-Star,Active,254106
46,Rawdat Al shrroq hotel,فندق روضة الشروق الفندقية,Makkah,10002156,Unclassified/Other,Active,289335
47,Ghala Al Taj Hotel,فندق غلا التاج ,Makkah,10001865,Unclassified/Other,Active,290137
48,amal abdullazez,شقق مسكن الجواد للشقق المخدومة,Madina,10001284,Code 27,Active,301475
49,Afraa Hotel,فندق عفراء الفندقية,Makkah,10000993,3-Star,Active,218631
50,Al Masa Private Limited Company,شركة الماسة الخاصة المحدودة,Makkah,10002514,3-Star,Active,219022
51,Areej Alwafa Hotel,فندق أريج الوفاء الفندقية,Makkah,10002505,Unclassified/Other,Active,232382
52,Holiday inn Hotel,فندق هوليدي إن بكة الفندقية,Makkah,10002352,Unclassified/Other,Active,221117
53,REHAB AL MOHABBAH HOTEL,فندق رحاب المحبة,Makkah,10002170,1-Star,Active,94815
54,Jabal Omar Hilton Suite,فندق جبل عمر اجنحة هيلتون,Makkah,10002500,4-Star,Active,219569
55,Rabwah Al Safwa Hotel,فندق ربوة الصفوة فرع شركة الريان المكية المحدودة,Makkah,10001671,Unclassified/Other,Active,291776
56,manazil alrahma hotel,فندق منازل الرحمة الفندقية,Madina,10002137,Unclassified/Other,Active,289295
57,Makkah Royal Hotel,فندق مكة رويال,Makkah,10002100,1-Star,Active,289155
58,manar al sheroq hotel,فندق منار الشروق الفندقية,Makkah,10002204,Unclassified/Other,Active,293357
59,Jayan Hotel,فندق جيان فرع شركة جيان العالمية المحدودة,Makkah,10001992,1-Star,Active,211514
60,ANJUM HOTELS,شركة أنجم لتشغيل الفنادق,Makkah,10001487,5-Star,Active,219501
61,Hayah Grand Hotel,فندق حياة جراند,Madina,10001329,Unclassified/Other,Active,290055
62,RAMADA by Wyndham Makkah Zad Plus,شركة رمادا زاد بلس الفندقية,Makkah,10002141,4-Star,Active,213720
63,Altalaea Hotels,شركة الطلائع الفندقية,Makkah,10005693,Unclassified/Other,Active,289015
64,Arafat Golden Company,شركة عرفات الذهبية,Makkah,10002004,2-Star,Active,219402
65,Bright Hotel,فندق برايت الفندقية,Makkah,10005125,2-Star,Active,222092
66,Saraya Al-Sultans Hotel,فندق سرايا السلاطين الفندقية,Makkah,10004431,1-Star,Active,248543
67,Doubletree By Hilton Jabal Omar Makkah,فندق جبل عمر دبل تري باي هيلتون,Makkah,10002349,4-Star,Active,219590
68,ALZAHRA ALRAQI HOTEL,فندق الزهراء الراقي للايواء السياحي,Madina,10001821,Unclassified/Other,Active,292235
69,Mohammed Al-Sbitani Hotel Apartments,شقق محمد السبيتاني للشقق الفندقية,Makkah,10001343,2-Star,Active,271415
70,Retaj Al Hayat Hotel Operations Company,مؤسسة رتاج الحياة لتشغيل الفنادق,Makkah,10002213,1-Star,Active,209614
71,Azka ALmaqam hotel,فندق أزكى المقام الفندقية,Makkah,10002212,1-Star,Active,197448
72,Golden Falah Homes Hotel,فندق منازل الفلاح الذهبي الفندقية,Madina,10001735,Unclassified/Other,Active,259315
73,GRAND SAFI HOTEL,جراند الصافي,Madina,10002298,1-Star,Active,235835
74,Riyadh Deafah Hotel,فندق رياض الضيافة الفندقية,Makkah,10001869,1-Star,Active,217964
75,Hotel Hareth Mohammed Bahareth,فندق حارث محمد باحارث الفندقية,Makkah,10001710,Unclassified/Other,Active,234469
76,Manasik Alnoor Co,شركة مناسك النور لإدارة وتشغيل المباني ,Makkah,10001496,1-Star,Active,218697
77,RAWDHAT ALTAWHEED,فندق روضة التوحيد الفندقية,Makkah,10003172,1-Star,Active,291275
78,Makarem Diafa One House Hotel,فندق مكارم ضيافة البيت واحد الفندقية,Makkah,10002368,1-Star,Active,255018
79,Shamoukh Saad Hotel for Tourist Accommodation,فندق شموخ سعد للايواء السياحي,Makkah,10006286,1-Star,Active,223552
80,Mead Al Majd Hotel,فندق ميعاد المجد الفندقية,Makkah,10002277,Unclassified/Other,Active,246584
81,Safwat Al Bait Hotel,فندق صفوة البيت الفندقية,Makkah,10002869,1-Star,Active,241155
82,Maghreb Hotel,فندق المغاربي للشقق الفندقية,Madina,10001433,2-Star,Active,242930
83,HOTEL THREE POINT ALKAWTHER,فندق ثلاثة نقاط الكوثر,Madina,10001761,Unclassified/Other,Active,235880
84,Qasr AlsharqTower Hotel Services Company,شركة برج قصر الشرق للخدمات الفندقيه,Makkah,10002036,Unclassified/Other,Active,291035
85,Nebras Alhuda,شركة نبراس الهدي للسفر و السياحة شخص واحد,Makkah,10001042,Unclassified/Other,Active,271695
86,Four Points by Sheraton Hotel,فندق فور بوينتس باي شيراتون الفندقية,Makkah,10000643,4-Star,Active,212529
87,DAR UMM ALQURA  GOLDEN,فندق دار أم القرى الذهبي الفندقية,Makkah,10001087,1-Star,Active,230013
88,BOSPHORUS HOTELS,فندق البسفور(1),Madina,10001335,3-Star,Active,235826
89,Zamzam Pullman Makkah Hotel,فندق زمزم بولمان مكة,Makkah,10001442,4-Star,Active,211654
90,Zahra Al Saad Arbaa Hotel Hotel Establishment,مؤسسة فندق زهرة السعد اربعة الفندقية,Makkah,10002087,1-Star,Active,294035
91,funduq luluat almadina Company Hotel,شركة فندق لؤلؤة المدينة الفندقية,Madina,10002268,1-Star,Active,289275
92,Ajyad Hotel Services Company,شركة اجياد للخدمات الفندقية,Makkah,10002536,3-Star,Active,218151
93,Burj Al Fouad Hotel,فندق برج الفؤاد الفندقية,Makkah,10002543,1-Star,Active,220073
94,HUDA TAIBAH HOTEL,فندق هدى طيبة الفندقية,Madina,10001640,Unclassified/Other,Active,287452
95,HOTEL AL-ANDALUS AL-MASI,فندق الاندلس الماسي,Madina,10001907,Unclassified/Other,Active,235830
96,Rabwat Al Safwa Golden Hotel Services Company,شركة ربوة الصفوة الذهبي للخدمات الفندقيه,Madina,10002152,1-Star,Active,225006
97,PALESTINE HOTEL,فندق فلسطين الفندقية,Makkah,10001899,3-Star,Active,46638
98,Biab Al-Azizia Hotel Company,شركة بياب العزيزية الفندقية,Makkah,10001309,Unclassified/Other,Active,220784
99,Makarem Al-Bayt Hotel,فندق مكارم البيت,Makkah,10001301,4-Star,Active,210148
100,Makarim Zubaydah Hotel,فندق مكارم زبيدة الفندقية,Makkah,10001727,1-Star,Active,250258
101,Maden Al Rawda Hotel,شركة مادن الروضة للخدمات الفندقيه,Madina,10001362,Unclassified/Other,Active,254955
102,Safwat Al Khair Al Mahbas Hotel Foundation,مؤسسة فندق صفوة الخير المحبس الفندقية,Makkah,10002013,1-Star,Active,250240
103,AMLAQ ALMSHRQ HOTEL,شركة عملاق المشرق التجارية,Makkah,10001864,2-Star,Active,222057
104,artal taibah hotel,فندق ارتال طيبة,Madina,10000526,1-Star,Active,235883
105,Janadriyah Towers Hotel,فندق أبراج الجنادرية الفندقية,Makkah,10001998,1-Star,Active,253961
106,aboaljoud,فندق حياة الذهبي الفندقية,Madina,10001333,Unclassified/Other,Active,286801
107,MIRAGE TIBA HOTEL,فندق مراج طيبة الفندقية,Madina,10002031,1-Star,Active,235825
108,Tabah Towers Limited Company,شركة أبراج طابة المحدودة (شركة شخص واحد),Madina,10001834,Unclassified/Other,Active,254975
109,Diyar Al Taqwa Hotel Operation Company,شركة ديار التقوى لتشغيل الفنادق  ذات مسئولية محدودة,Makkah,10006186,1-Star,Active,301815
110,maad touism company,شركة معاد العالمية الفندقية المحدودة,Makkah,10006217,4-Star,Active,52398
111,Al Ghadeer Ajyad Hotel,فندق الغدير أجياد الفندقية,Makkah,10002159,1-Star,Active,241146
112,Midan Hotel Company Branch,فرع شركة فندق ميدان الفندقية,Makkah,10000987,3-Star,Active,218655
113,Platinum First Hotel,فندق بلاتينيوم الاولى الفندقية,Madina,10000739,1-Star,Active,258995
114,Nada Al Deafah hotel,فندق ندى الضيافة الفندقية,Makkah,10001870,2-Star,Active,213946
115,Al Dar Hotel,فندق الدار روافد الفندقية,Madina,10000787,3-Star,Active,238827
116,Le Meridien Medina Hotel,فندق المدينة مريديان,Madina,10000954,1-Star,Active,291235
117,Jabal Omar Hyatt Regency,فندق جبل عمر حياة ريجنسي,Makkah,10000596,5-Star,Active,219530
118,Ruqa Al-Walid Hotel,فندق رقي الوليد الفندقية,Makkah,10000724,1-Star,Active,248522
119,Aljoudhotel,فندق الجود,Makkah,10002226,3-Star,Active,244318
120,M Hotel Makkah by Millennium,فندق ام من ميلينوم فرع شركة النبلاء العالمية لاستثمارالعقاري,Makkah,10002236,Unclassified/Other,Active,220573
121,BATOUL AJYAD,شركة بتول اجياد الفندقية,Makkah,10001395,3-Star,Active,223461
122,Alzahraa Hotel,فندق الزهراء,Madina,10002284,1-Star,Active,235897
123,Jood al makan serviced apartments,شقق جود المكان للشقق المخدومة,Madina,10001674,2-Star,Active,269835
124,Shuail Batha Quraish Apartments for Residential Un,شقق شعيل بطحاء قريش للوحدات السكنية,Makkah,10001322,2-Star,Active,246586
125,Al Masa Private Limited Company,شركة الماسة الخاصة المحدودة,Makkah,10002510,3-Star,Active,219511
126,WINNER INN ALKHIER HOTEL,فندق وينر إن آلخير,Madina,10001670,3-Star,Active,239175
127,Hotel Alebaa Hotel,فندق الإباء الفندقية,Makkah,10002124,3-Star,Active,218577
128,Aldyafa Alraqyah,شركة الضيافة الراقية الفندقية,Makkah,10002085,Unclassified/Other,Active,256696
129,Mujahed saaed Al shareef hotel,فندق مجاهد سعيد الشريف,Makkah,10002195,1-Star,Active,292555
130,Dar Al Ajyal,فندق دار الاجيآل الفندقية,Madina,10002006,1-Star,Active,289115
131,Le MeridienTowers Makkah,فندق أبراج المريديان فرع الشركةالمتحدةللإستثماروالتطويرالعقاري المتحد,Makkah,10000557,3-Star,Active,33058
132,Rua Al Hijrah Hotel Services Company,شركة رؤى الهجرة للخدمات الفندقية,Madina,10002136,2-Star,Active,239
133,Rua Al Hijrah Hotel Services Company,شركة رؤى الهجرة للخدمات الفندقية,Madina,10002136,1-Star,Active,235760
134,AL MOKHTARA GOLDEN HOTEL,فندق المختارة الذهبي فرع شركة منازل المختارة التجارية,Madina,10002245,Unclassified/Other,Active,258775
135,Romance Awan Hotel Services Company,شركة رومانس اوان للخدمات الفندقيه,Makkah,10001156,Unclassified/Other,Active,244596
136,Millennium Alaqeeq Company,شركة ميلينيوم العقيق,Madina,10000755,4-Star,Active,248757
137,Mohammadia Alzahraa Hotel,فندق محمدية الزهراء الفندقية,Madina,10001716,1-Star,Active,230901
138,Emaar Grand Hotel,فندق اعمار جراند الفندقية,Makkah,10002106,Unclassified/Other,Active,219627
139,Sama Al Samah Hotel,فندق سما السماح الفندقية,Makkah,10002567,1-Star,Active,197435
140,Al Fajr Al Badaiya Six Hotel Services Company,شركة الفجر البديع ستة للخدمات الفندقيه,Makkah,10001413,3-Star,Active,20179
141,luluat altawhid wahid Hotel Hotel,فندق لؤلؤة التوحيد واحد الفندقية,Makkah,10002027,Unclassified/Other,Active,301096
142,burj alsaif,فندق برج السيف الفندقية,Makkah,10002099,1-Star,Active,219235
143,Abdul Rahman Al Qurashi Hotel,فندق عبدالرحمن بن عطيه بن خضر القرشى الفندقية,Makkah,10002238,Unclassified/Other,Active,290895
144,slsabil Hamudah 2 Hotel,فندق سلسبيل حموده اثنين الفندقية,Makkah,10001876,Unclassified/Other,Active,222729
145,Arej Al Falah Hotel,فندق أريج الفلاح الفندقية,Makkah,10002142,Unclassified/Other,Active,220423
146,ALBALAD ALTAYEB AJYAD HOTEL,فندق البلد الطيب اجياد الفندقية,Makkah,10001185,2-Star,Active,223563
147,ALKIRAM HOTEL,فندق الكرام الفندقية,Makkah,10002104,2-Star,Active,232022
148,Infinity Hotel,فندق أنفينتي,Makkah,10001422,5-Star,Active,218022
149,TAIBA FRONT HOTEL,شركة واجهة طيبة الفندقية,Madina,10001622,3-Star,Active,241464
150,AL Jaad Mahbass,فندق الجاد المحبس الفندقية وقف الشيخ امين عمر جاد يرحمه الله,Makkah,10001248,3-Star,Active,230520
151,BADER AL HADETH HOTEL,فندق بدر الحديث الفندقية,Makkah,10002163,Unclassified/Other,Active,290035
152,Manazel Al Taqwa Hotel,فندق منازل التقوى الفندقية,Madina,10002289,1-Star,Active,258716
153,Kanooz AlDiyafa Company,شركة كنوز الضيافه,Makkah,10002248,1-Star,Active,241144
154,shaqaq al'ansar bilus For serviced apartments,شقق الأنصار بلس للشقق المخدومة,Madina,10002214,2-Star,Active,258737
155,SEDRAT AL EHSAN HOTEL,سدرة الإحسان ,Makkah,10004540,2-Star,Active,223558
156,Manazil Alaswaf Hotel,فندق منازل الاسواف,Madina,10002242,1-Star,Active,227826
157,MADEN HOTEL,شركة مادن للخدمات الفندقية,Madina,10001387,4-Star,Active,235796
158,Hilton Jabal Omar Hilton,فندق جبل عمر هيلتون,Makkah,10001038,5-Star,Active,219527
159,ZAMZAM PULLMAN AMDINA HOTEL,فندق زمزم بولمان المدينة,Madina,10001808,Unclassified/Other,Active,235841
160,Zahra Al Saad Khamsa Hotel Hotel Establishment,مؤسسة فندق زهرة السعد خمسة الفندقية,Makkah,10001088,1-Star,Active,294256
161,nokhba alkhir hotel,فندق نخبة الخير للايواء السياحي,Makkah,10001922,1-Star,Active,230662
162,Violet Hotel TWO,فندق فيوليت اثنين الفندقية,Makkah,10001702,1-Star,Active,223434
163,Alolayan alkhalil hotel,شركة سليمان بن موسى العليان الفندقية شخص واحد,Makkah,10001838,1-Star,Active,219838
164,Eidah ahmed abdullah althibiti hotel,فندق عيضه بن احمد بن عبدالله الثبيتي الفندقية,Makkah,10002028,1-Star,Active,255116
165,Manazel Al Marjan Hotel Madinah Hotel,شركة منازل المرجان المدينة للخدمات الفندقية,Madina,10010730,1-Star,Active,257082
166,Three Points Hotel Company,شركة نقاط ثلاثة الرضا الفندقية,Madina,10002022,Unclassified/Other,Active,287498
167,Dallah Taibah Hotel,شركة دله للفنادق والمنتجعات السياحيه فندق دلة طيبة,Madina,10001873,4-Star,Active,226985
168,jawharat al misfalah hotel,فندق جوهرة المسفلة الفندقية,Makkah,10002519,1-Star,Active,220603
169,zharat muna hotel,فندق زهرة منى الفندقية,Makkah,10002084,1-Star,Active,217977
170,Diamond Immigration Hotel,فندق الهجرة الماسي الفندقية,Makkah,10002537,1-Star,Active,220772
171,Al Rawda Makkah Hotel,فندق الروضة المكية فرع شركة الروضة المكية,Makkah,10001921,1-Star,Active,211561
172,Zahrat Al saad Hotel,فندق زهرة السعد الفندقية,Makkah,10001438,Unclassified/Other,Active,244335
173,0,فندق الرحابه المكيه الفندقية,Makkah,10001721,1-Star,Active,244320
174,Dar Al Tawhid Intercontinental Hotel,فندق دار التوحيد انتركونتننتال الفندقية,Makkah,10002130,5-Star,Active,218056
175,Narsyan Taiba Apartments for Residential Units,شقق نرسيان طيبة للوحدات السكنية,Madina,10001874,2-Star,Active,255016
176,borj alkhir hoel,شركة برج الخير للخدمات الفندقيه,Makkah,10001928,1-Star,Active,239213
177,Baraa Taiba Hotel,فندق براء طيبة الفندقية,Madina,10002145,Unclassified/Other,Active,289256
178,LULLUAT ALTAWHEED 2 HOTEL,فندق لؤلؤة التوحيد,Makkah,10002020,1-Star,Active,290138
179,Millennium Taiba Company,شركة ميلينيوم طيبة,Madina,10000792,4-Star,Active,249216
180,Snood Al Azma Hotel,فندق سنود العظمة الفندقية,Makkah,10001955,2-Star,Active,258916
181,Zahrat Al Saad Three Hotel,فندق زهرة السعد ثلاثة الفندقية,Makkah,10001336,Unclassified/Other,Active,290155
182,Qasser alazhar hotel,فندق قصر الازهر الفندقية,Makkah,10001527,1-Star,Active,218011
183,hootel algale,فندق ضيف الله مسلم الحربي الفندقية,Makkah,10002581,Unclassified/Other,Active,221455
184,Nawara Shams Hotel 2,مؤسسة فندق نوارة شمس الفندقية,Makkah,10002573,1-Star,Active,288678
185,Al Jawhara Tower Hotel Company is a one person com,شركة برج الجوهرة الفندقية شركة شخص واحد,Makkah,10001911,2-Star,Active,8972
186,DAR BONYAN HOTEL,فندق دار بنيان ,Makkah,10002563,1-Star,Active,243060
187,HOTEL RAWABI ZAMZAM,فندق روابي زمزم شركة الأندلس لصيانةوإدارةوتشغيل الفنادق والقصورالسكنية,Makkah,10002572,Unclassified/Other,Active,259318
188,Al Masa Private Limited Company,شركة الماسة الخاصة المحدودة,Makkah,10002588,3-Star,Active,90941
189,ABDELHAFEZ ABDULLA ALHUMAIDAN HOTEL,فندق عبدالحافظ بن عبدالله بن سليمان آل حميدان الفندقية,Makkah,10002111,1-Star,Active,239295
190,Le Meridien Makkah Hotel,فندق مريديان مكة فرع الشركة المتحدة للإستثمار والتطوير العقاري المتحد,Makkah,10000533,3-Star,Active,220290
191,AZKA ALSAFA HOTEL,فندق ازكى الصفا,Makkah,10001950,3-Star,Active,18263
192,Green Oasis Hotel Company,شركة الواحة الخضراء الفندقية شركة شخص واحد,Madina,10000617,1-Star,Active,256417
193,Nibras AlHuda Travel and Tourism Company,شركة نبراس الهدي للسفر و السياحة,Makkah,10001971,Unclassified/Other,Active,223526
194,Bussan Hotel,فندق بيسان الفندقية,Makkah,10002332,1-Star,Active,254602
195,Parkinn,فندق بارك إن,Makkah,10000559,Unclassified/Other,Active,31526
196,ALBALAD ALTAYEB HOTEL,فندق البلد الطيب الفندقية,Makkah,10001666,2-Star,Active,221989
197,ROYA AL ANDALUS COMPANY,شركة رؤيا الأندلس لتشغيل الفنادق شخص واحد,Madina,10001560,2-Star,Active,234952
198,Upscale hotel hospitality company,شركة الضيافة الراقية الفندقية,Makkah,10002308,Unclassified/Other,Active,287615
199,Durrat albayan hotel,فندق درة البيان الفندقية,Makkah,10002425,Unclassified/Other,Active,293855
200,Tiba Rose Hotel,فندق طيبة روز,Madina,10002235,Unclassified/Other,Active,235744
201,Dorrat Alsalheen,شقق درة الصالحين للوحدات السكنية المفروشة لصاحبها طارق صالح ريس,Makkah,10000682,2-Star,Active,268298
202,HOTEL THREE POINT ALAMEEN,نقاط ثلاثة الامين الفندقية,Madina,10002211,1-Star,Active,235813
203,Mujahid bin Saeed bin Abdul Mohsen Al Sharif Hotel,فندق مجاهد بن سعيد بن عبدالمحسن الشريف للايواء ,Makkah,10009443,1-Star,Active,222495
204,GOLDEN ERGWAN HOTEL,فندق ارجوان الذهبي,Madina,10001767,Unclassified/Other,Active,287515
205,Riyad Alzahraa Hotel,فندق رياض الزهراء الفندقية,Madina,10001868,1-Star,Active,239135
206,RAZANA AL RAWDA HOTEL,شركة رزانه الفندقية,Makkah,10002336,1-Star,Active,239317
207,Crowne Plaza Madinah,فندق كراون بلازا المدينة,Madina,10002117,Unclassified/Other,Active,235742
208,Kul Al Ayaim Hotels,فندق كل الأيام الفندقية,Makkah,10001530,1-Star,Active,289415
209,AL SHAKREEN GOLDEN TULIP,فندق الشاكرين جولدن توليب الفندقية,Madina,10001493,3-Star,Active,228406
210,alolayan hotels,فندق قصر العليان للشقق الفندقية,Makkah,10002176,1-Star,Active,241139
211,njoom al madina,فندق نجوم المدينة الفندقية,Madina,10002220,Unclassified/Other,Active,291180
212,Address Hotel Feelings Hotel,فندق عنوان المشاعر الفندقية,Makkah,10002288,1-Star,Active,220695
213,Mona Concorde Hotel,فندق منى كونكورد,Makkah,10002379,1-Star,Active,222059
214,Arjwan Alsalam Hotel,فندق ارجوان السلام,Madina,10001637,Unclassified/Other,Active,235839
215,Mohamed saif hotel,فندق محمد سيف حسن اليماني الفندقية,Makkah,10002278,Unclassified/Other,Active,221956
216,Al Jazeera Trading Company,شركة تداول الجزيره للمقاولات والتنمية المحدودة,Makkah,10002074,4-Star,Active,219192
217,Al Fajr Al Badi Five Hotel Services Company,شركة الفجر البديع خمسة للخدمات الفندقيه,Makkah,10001398,3-Star,Active,250
218,Amjad AL deafah Hotel,فندق أمجاد الضيافة الفندقية,Makkah,10001750,1-Star,Active,221982
219,MALAK ALSAFWA HOTEL,فندق ملاك الصفوة,Makkah,10001845,1-Star,Active,239455
220,Al_ghufran Safwah,فندق صفوة الغفران الفندقية,Makkah,10001354,5-Star,Active,17445
221,Al Aa Al Mashaer Foundation,مؤسسة الآء المشاعر لحجز وحدات الضيافة,Makkah,10002185,2-Star,Active,290316
222,Sukoon Hotel,فندق سكون,Madina,10002089,Unclassified/Other,Active,234495
223,Makarem Ajyad Makkah Hotel,فندق مكارم اجياد مكة,Makkah,10001021,5-Star,Active,220369
224,Danat Al Deyafh Hotel,فندق دانة الضيافة الفندقية,Makkah,10002412,1-Star,Active,288915
225,aljuhani ajyad hotel,شركة فندق الجهني أجياد,Makkah,10001872,1-Star,Active,244476
226,Dar Al Azhar Hotel Est,فندق دار الازهر الفندقية,Makkah,10001956,1-Star,Active,290142
227,gelnar alraqi,فندق جلنار الراقي للايواء السياحي,Madina,10000801,Unclassified/Other,Active,254455
228,SALIH AL SULAMI,فندق الرحابة المكية لصاحبها صالح وصل السلمي,Makkah,10001780,1-Star,Active,243028
229,Violet Hotel,فندق فيوليت الفندقية,Makkah,10000998,3-Star,Active,44033
230,Manar Al Azhar Hotel,فندق منار الأزهر الفندقية,Makkah,10001918,2-Star,Active,218971
231,LAMAR HOTEL,فندق لمار أجياد الأول,Makkah,10001171,3-Star,Active,224928
232,Park inn By Radisson Makkah Aziziyah,فندق بارك إن راديسون العزيزية الفندقية,Makkah,10002386,Unclassified/Other,Active,220177
233,Hibba almuhajreen hotel,فندق هبة المهاجرين الفندقية,Makkah,10006268,1-Star,Active,244518
234,Jabal Omar Jumeirah hotel,فندق جبل عمر جميرا الفندقية,Makkah,10002521,5-Star,Active,219704
235,ORVANA Company,شركة أورفانا,Makkah,10009444,1-Star,Active,288695
236,City Hospitality Trading Company,شركة ضيافة المدينة للتجارة,Makkah,10009510,1-Star,Active,219287
237,Tilal Hotel,شركة تلال الفندقية,Makkah,10000423,5-Star,Active,218635
238,Dyar AL deafah Hotel,فندق ديار الضيافة,Makkah,10007618,1-Star,Active,218207
239,Safwat Al Hijaz Hotel,فندق صفوة الحجاز للخدمات الفندقيه,Makkah,10007617,1-Star,Active,241170
240,JAWHRAT MANAR HOTEL,فندق جوهرة منار الفندقية,Makkah,10007615,1-Star,Active,192737
241,REEF GLOBAL HOTEL . branch of REEF GLOBAL CO . itd,فندق ريف العالمية فرع شركة ريف العالمية المحدودة,Makkah,10007614,1-Star,Active,244696
242,Shorouk Al-Mask Hotel Company,شركة شروق المسك الفندقية,Makkah,10007605,1-Star,Active,237434
243,MEEZAB ANWAR MAKKAH HOTEL,شركة ميزاب الفندقية شركة شخص واحد,Makkah,10007644,1-Star,Active,242804
244,Al Bustan Albostan Hotel,فندق البستان الماسي الفندقية,Makkah,10007649,1-Star,Active,218001
245,JANNAH ALSHAB HOTEL,فندق جنة الشعب للخدمات الفندقيه,Makkah,10007673,1-Star,Active,288755
246,Visitors Hotel Two,مؤسسة الرواد للسياحة,Makkah,10007672,1-Star,Active,241196
